,team,city,country,location,point
0,Aachen,Aachen,Germany,"Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, Deutschland","(50.776351, 6.083862, 0.0)"
1,Augsburg,Augsburg,Germany,"Augsburg, Schwaben, Bayern, Deutschland","(48.3668041, 10.8986971, 0.0)"
2,Bayern Munich,Munich,Germany,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)"
3,Bochum,Bochum,Germany,"Bochum, Regierungsbezirk Arnsberg, Nordrhein-Westfalen, Deutschland","(51.4818111, 7.2196635, 0.0)"
4,Braunschweig,Braunschweig,Germany,"Braunschweig, Niedersachsen, Deutschland","(52.2646577, 10.5236066, 0.0)"
5,Cottbus,Cottbus,Germany,"Cottbus, Cottbus - Chóśebuz, Brandenburg, 03046, Deutschland","(51.7567447, 14.3357307, 0.0)"
6,Dortmund,Dortmund,Germany,"Dortmund, Regierungsbezirk Arnsberg, Nordrhein-Westfalen, 44135, Deutschland","(51.5142273, 7.4652789, 0.0)"
7,Dresden,Dresden,Germany,"Dresden, Sachsen, 01069, Deutschland","(51.0493286, 13.7381437, 0.0)"
8,Duisburg,Duisburg,Germany,"Duisburg, Regierungsbezirk Düsseldorf, Nordrhein-Westfalen, 47051, Deutschland","(51.434999, 6.759562, 0.0)"
9,Erzgebirge Aue,Aue,Germany,"Aue, Aue-Bad Schlema, Erzgebirgskreis, Sachsen, 08280, Deutschland","(50.5995589, 12.708984078483, 0.0)"
10,Freiburg,Freiburg,Germany,"Freiburg im Breisgau, Regierungsbezirk Freiburg, Baden-Württemberg, Deutschland","(47.9960901, 7.8494005, 0.0)"
11,Hamburg,Hamburg,Germany,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)"
12,Hannover,Hannover,Germany,"Hannover, Region Hannover, Niedersachsen, Deutschland","(52.3744779, 9.7385532, 0.0)"
13,Hansa Rostock,Rostock,Germany,"Rostock, Mecklenburg-Vorpommern, 18057, Deutschland","(54.0924445, 12.1286127, 0.0)"
14,Hertha,Berlin,Germany,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)"
15,Hoffenheim,Sinsheim,Germany,"Sinsheim, Verwaltungsgemeinschaft Sinsheim, Rhein-Neckar-Kreis, Regierungsbezirk Karlsruhe, Baden-Württemberg, 74889, Deutschland","(49.2553, 8.87722, 0.0)"
16,Ingolstadt,Ingolstadt,Germany,"Ingolstadt, Oberbayern, Bayern, 85057, Deutschland","(48.7630165, 11.4250395, 0.0)"
17,Kaiserslautern,Kaiserslautern,Germany,"Kaiserslautern, Rheinland-Pfalz, 67655, Deutschland","(49.4432174, 7.7689951, 0.0)"
18,Karlsruhe,Karlsruhe,Germany,"Karlsruhe, Regierungsbezirk Karlsruhe, Baden-Württemberg, Deutschland","(49.0068705, 8.4034195, 0.0)"
19,Leverkusen,Leverkusen,Germany,"Leverkusen, Regierungsbezirk Köln, Nordrhein-Westfalen, 51373, Deutschland","(51.0324743, 6.9881194, 0.0)"
20,Mainz,Mainz,Germany,"Mainz, Rheinland-Pfalz, 55116, Deutschland","(50.0012314, 8.2762513, 0.0)"
21,Paderborn,Paderborn,Germany,"Paderborn, Kreis Paderborn, Regierungsbezirk Detmold, Nordrhein-Westfalen, Deutschland","(51.71895955, 8.76486977817756, 0.0)"
22,Schalke 04,Gelsenkirchen,Germany,"Gelsenkirchen, Regierungsbezirk Münster, Nordrhein-Westfalen, Deutschland","(51.5110321, 7.0960124, 0.0)"
23,Stuttgart,Stuttgart,Germany,"Stuttgart, Regierungsbezirk Stuttgart, Baden-Württemberg, 70173, Deutschland","(48.7784485, 9.1800132, 0.0)"
24,Union Berlin,Berlin,Germany,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)"
25,Werder Bremen,Bremen,Germany,"Bremen, Deutschland","(53.0758196, 8.8071646, 0.0)"
26,Wolfsburg,Wolfsburg,Germany,"Wolfsburg, Niedersachsen, 38440, Deutschland","(52.4205588, 10.7861682, 0.0)"
27,Arsenal,London (Holloway),England,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
28,Aston Villa,Birmingham,England,"Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4775396, -1.894053, 0.0)"
29,Blackburn,Blackburn,England,"Blackburn, Blackburn with Darwen, North West England, England, BB1 7HQ, United Kingdom","(53.749326, -2.4840566, 0.0)"
30,Bolton,Bolton,England,"Bolton, Greater Manchester, North West England, England, United Kingdom","(53.5782863, -2.4300367, 0.0)"
31,Chelsea,London (Fulham),England,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
32,Everton,Liverpool (Walton),England,"Liverpool, North West England, England, United Kingdom","(53.407154, -2.991665, 0.0)"
33,Fulham,London (Fulham),England,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
34,Liverpool,Liverpool (Anfield),England,"Liverpool, North West England, England, United Kingdom","(53.407154, -2.991665, 0.0)"
35,Newcastle,Newcastle upon Tyne,England,"Newcastle upon Tyne, Tyne and Wear, North East England, England, United Kingdom","(54.9738474, -1.6131572, 0.0)"
36,Norwich,Norwich,England,"Norwich, Norfolk, East of England, England, United Kingdom","(52.628606, 1.29227, 0.0)"
37,Stoke,Stoke-on-Trent,England,"Stoke-on-Trent, West Midlands, England, ST1 4NP, United Kingdom","(53.0162014, -2.1812607, 0.0)"
38,Sunderland,Sunderland,England,"Sunderland, Tyne and Wear, North East England, England, United Kingdom","(54.9063791, -1.375053, 0.0)"
39,Swansea,Swansea,England,"Swansea Farm, Somerset West and Taunton, Somerset, South West England, England, TA23 0LH, United Kingdom","(51.0909387, -3.4361717, 0.0)"
40,Tottenham,London (Tottenham),England,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
41,West Brom,West Bromwich,England,"West Bromwich, West Midlands Combined Authority, West Midlands, England, B70 7NG, United Kingdom","(52.5186579, -1.9923114, 0.0)"
42,Wigan,Wigan,England,"Wigan, Greater Manchester, North West England, England, United Kingdom","(53.5457188, -2.6264624, 0.0)"
